Time, GyroX, GyroY, GyroZ, AccX, AccY, AccZ, Pressure, TempMS, Height, KalHeight
14194,-17.93,17.82,22.19,-0.35,1.02,-0.54,1017.90,4.79,-7.19,-7.19
14265,-13.28,18.43,-22.59,-0.33,0.93,-0.37,1017.74,4.77,-5.91,-5.90
14337,19.15,0.72,-47.42,-0.30,0.95,-0.15,1017.79,4.79,-6.31,-6.31
14407,26.40,-11.22,-53.10,-0.32,0.96,-0.14,1017.74,4.77,-5.91,-5.91
14479,26.60,4.67,-25.48,-0.33,0.95,-0.11,1017.85,4.77,-6.79,-6.79
14549,-10.38,-8.75,-25.98,-0.33,0.93,-0.12,1017.90,4.79,-7.19,-7.19
14624,-28.36,35.48,3.83,-0.46,0.88,-0.38,1017.85,4.77,-6.79,-6.79
14690,25.18,14.92,-37.55,-0.75,0.80,-0.69,1017.85,4.77,-6.79,-6.79
14761,15.85,-2.21,27.29,-0.25,0.94,0.06,1017.79,4.79,-6.31,-6.31
14830,-12.10,-8.59,21.74,-0.31,0.95,-0.13,1017.79,4.79,-6.31,-6.31
14901,16.95,-3.89,-9.97,-0.31,0.95,-0.09,1017.74,4.77,-5.91,-5.91
14970,2.04,-6.07,4.93,-0.35,0.91,-0.17,1017.79,4.79,-6.31,-6.31
15038,-17.98,-59.86,3.58,-0.28,0.91,-0.17,1017.79,4.79,-6.31,-6.31
15109,-19.02,16.72,23.18,-0.36,0.91,-0.17,1017.79,4.79,-6.31,-6.31
15180,-42.90,1.18,37.32,-0.23,0.93,0.08,1017.79,4.79,-6.31,-6.31
15248,-29.60,-3.11,40.12,-0.29,0.86,-0.01,1017.79,4.79,-6.31,-6.31
15319,-14.07,15.25,10.05,-0.18,1.18,0.11,1017.79,4.79,-6.31,-6.31
15389,5.46,16.25,3.21,-0.21,1.17,-0.15,1017.79,4.79,-6.31,-6.31
15457,-10.12,4.45,1.53,-0.25,0.96,-0.06,1017.79,4.79,-6.31,-6.31
15526,7.35,-69.34,5.87,-0.20,0.64,-0.06,1017.74,4.77,-5.91,-5.91
15594,39.01,-33.07,8.63,-0.21,1.20,0.07,1017.79,4.79,-6.31,-6.31
15663,23.56,-27.84,-8.04,-0.22,0.99,-0.09,1017.63,4.77,-5.03,-5.03
15734,4.19,-5.95,2.43,-0.04,1.41,-0.21,1017.74,4.77,-5.91,-5.91
15802,-2.59,-19.05,-8.18,-0.21,0.87,-0.01,1017.79,4.79,-6.31,-6.31
15872,21.41,28.41,1.70,-0.26,0.96,-0.08,1017.74,4.77,-5.91,-5.91
15941,-16.51,36.29,5.83,-0.43,0.96,-0.36,1017.85,4.77,-6.79,-6.79
16011,-52.82,29.77,-12.07,-0.26,0.90,-0.16,1017.74,4.77,-5.91,-5.91
16083,6.72,-14.35,9.38,-0.37,0.96,-0.08,1017.85,4.77,-6.79,-6.79
16152,15.75,-7.83,6.54,-0.27,0.94,-0.06,1017.85,4.77,-6.79,-6.79
16224,10.17,-3.59,0.16,-0.25,0.97,-0.07,1017.85,4.77,-6.79,-6.79
16289,11.79,1.25,3.00,-0.29,0.97,-0.12,1017.74,4.77,-5.91,-5.91
16357,8.31,-16.00,13.83,-0.29,1.00,-0.04,1017.74,4.77,-5.91,-5.91
16427,4.51,2.02,8.00,-0.28,0.91,-0.14,1017.85,4.77,-6.79,-6.79
16493,-7.60,-14.18,-3.60,-0.23,0.92,-0.05,1017.85,4.77,-6.79,-6.79
16564,1.17,2.49,-6.90,-0.22,0.96,-0.09,1017.80,4.75,-6.39,-6.39
16632,3.82,10.57,-6.30,-0.26,0.95,-0.10,1017.80,4.75,-6.39,-6.39
16701,-19.54,10.81,-13.30,-0.23,0.94,-0.04,1017.80,4.75,-6.39,-6.39
16772,-0.71,4.90,-4.61,-0.27,0.96,-0.07,1017.80,4.75,-6.39,-6.39
16841,14.17,7.22,-5.17,-0.18,0.98,0.04,1017.75,4.73,-5.99,-5.99
16909,3.47,0.34,-8.09,-0.23,0.98,-0.05,1017.85,4.73,-6.79,-6.79
16977,-57.49,-79.63,-18.39,-0.24,1.11,0.06,1017.75,4.73,-5.99,-5.99
17049,2.19,-4.81,5.03,-0.30,0.92,0.13,1017.75,4.73,-5.99,-5.99
17115,-34.53,-5.11,-3.63,-0.29,0.89,-0.01,1017.96,4.73,-7.67,-7.67
17186,0.22,-9.00,8.98,-0.29,0.90,-0.03,1017.80,4.71,-6.39,-6.38
17254,23.98,-119.36,9.79,-0.24,0.79,0.13,1017.80,4.71,-6.39,-6.39
17323,113.44,-20.87,1.27,-0.07,0.99,0.17,1017.75,4.69,-5.99,-5.99
